ID;Group;Name;Stock;Price;PicturePath;Description
001;Poisson de bassin;Carpe Koï;1022;20;avares://OceanStock/Assets/koi.jpg;Poisson d’ornement très apprécié, symbole de chance et de longévité.
002;Poisson eau douce;Guppy;1042;2;avares://OceanStock/Assets/guppy.jpg;Petit poisson coloré facile à élever, idéal pour débutants.
003;Poisson tropical;Néon Bleu;1055;3;avares://OceanStock/Assets/neon_bleu.jpg;Poisson tropical lumineux connu pour sa bande bleue fluorescente.
004;Poisson tropical;Discus;1016;30;avares://OceanStock/Assets/discus.jpg;Poisson d’eau chaude prestigieux, très apprécié en aquariophilie.
005;Poisson eau de mer;Poisson clown;1025;12;avares://OceanStock/Assets/clownfish.jpg;Poisson populaire vivant en symbiose avec les anémones.
006;Poisson eau douce;Axolotl;1013;50;avares://OceanStock/Assets/axolotl.jpg;Amphibien unique qui garde une forme larvaire toute sa vie.
007;Poisson eau de mer;Saumon;1060;14;avares://OceanStock/Assets/saumon.jpg;Poisson gras très apprécié, riche en oméga‑3.
008;Poisson eau de mer;Dorade Royale;1032;13;avares://OceanStock/Assets/dorade_royale.jpg;Poisson blanc délicat, très populaire en cuisine méditerranéenne.
009;Poisson eau de mer;Merlan;1050;8;avares://OceanStock/Assets/merlan.jpg;Poisson à chair blanche, souvent frit ou cuit au four.
010;Poisson eau de mer;Thon Rouge;1030;18;avares://OceanStock/Assets/thon_rouge.jpg;Grand poisson apprécié cru dans la cuisine japonaise.
011;Poisson eau douce;Truite arc-en-ciel;1045;11;avares://OceanStock/Assets/truite_arc_en_ciel.jpg;Poisson de rivière savoureux, très prisé dans la gastronomie.
012;Poisson eau douce;Sandre;1028;16;avares://OceanStock/Assets/sandre.jpg;Poisson carnassier à la chair fine et délicate.
013;Poisson tropical;Tilapia;1060;7;avares://OceanStock/Assets/tilapia.jpg;Poisson d’eau chaude doux, très utilisé dans la cuisine mondiale.

014;Poisson eau douce;Poisson rouge;50;5;avares://OceanStock/Assets/goldfish.jpg;Poisson domestique très répandu, facile à entretenir en aquarium ou bassin.

